filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
vaca6_jpg.rf.f65be9a43a446cac94a5da7ae67112e1.jpg,123109,"{""bcs_score"":""2.5""}",8,0,"{""name"":""point"",""cx"":233,""cy"":292}","{""part_name"":""short_ribs""}"
vaca6_jpg.rf.f65be9a43a446cac94a5da7ae67112e1.jpg,123109,"{""bcs_score"":""2.5""}",8,1,"{""name"":""point"",""cx"":142,""cy"":301}","{""part_name"":""pins""}"
vaca6_jpg.rf.f65be9a43a446cac94a5da7ae67112e1.jpg,123109,"{""bcs_score"":""2.5""}",8,2,"{""name"":""point"",""cx"":167,""cy"":313}","{""part_name"":""thurl""}"
vaca6_jpg.rf.f65be9a43a446cac94a5da7ae67112e1.jpg,123109,"{""bcs_score"":""2.5""}",8,3,"{""name"":""point"",""cx"":215,""cy"":300}","{""part_name"":""hooks""}"
vaca6_jpg.rf.f65be9a43a446cac94a5da7ae67112e1.jpg,123109,"{""bcs_score"":""2.5""}",8,4,"{""name"":""point"",""cx"":212,""cy"":293}","{}"
vaca6_jpg.rf.f65be9a43a446cac94a5da7ae67112e1.jpg,123109,"{""bcs_score"":""2.5""}",8,5,"{""name"":""point"",""cx"":206,""cy"":282}","{""part_name"":undefined}"
vaca6_jpg.rf.f65be9a43a446cac94a5da7ae67112e1.jpg,123109,"{""bcs_score"":""2.5""}",8,6,"{""name"":""point"",""cx"":288,""cy"":236}","{""part_name"":undefined}"
vaca6_jpg.rf.f65be9a43a446cac94a5da7ae67112e1.jpg,123109,"{""bcs_score"":""2.5""}",8,7,"{""name"":""point"",""cx"":294,""cy"":214}","{""part_name"":undefined}"
vaca7_jpg.rf.b49fe72c5af1540c0550ffa25eada6d4.jpg,100054,"{""bcs_score"":""3.0""}",6,0,"{""name"":""point"",""cx"":305,""cy"":175}","{""part_name"":""short_ribs""}"
vaca7_jpg.rf.b49fe72c5af1540c0550ffa25eada6d4.jpg,100054,"{""bcs_score"":""3.0""}",6,1,"{""name"":""point"",""cx"":273,""cy"":217}","{""part_name"":""pins""}"
vaca7_jpg.rf.b49fe72c5af1540c0550ffa25eada6d4.jpg,100054,"{""bcs_score"":""3.0""}",6,2,"{""name"":""point"",""cx"":260,""cy"":178}","{""part_name"":""tailhead_ligament""}"
vaca7_jpg.rf.b49fe72c5af1540c0550ffa25eada6d4.jpg,100054,"{""bcs_score"":""3.0""}",6,3,"{""name"":""point"",""cx"":260,""cy"":180}","{}"
vaca7_jpg.rf.b49fe72c5af1540c0550ffa25eada6d4.jpg,100054,"{""bcs_score"":""3.0""}",6,4,"{""name"":""point"",""cx"":283,""cy"":188}","{""part_name"":""hooks""}"
vaca7_jpg.rf.b49fe72c5af1540c0550ffa25eada6d4.jpg,100054,"{""bcs_score"":""3.0""}",6,5,"{""name"":""point"",""cx"":306,""cy"":177}","{}"
vaca8_jpg.rf.847b7448c51ac98b64f57f8df809a3a9.jpg,42372,"{""bcs_score"":""3.5""}",5,0,"{""name"":""point"",""cx"":266,""cy"":271}","{""part_name"":""sacral_ligament""}"
vaca8_jpg.rf.847b7448c51ac98b64f57f8df809a3a9.jpg,42372,"{""bcs_score"":""3.5""}",5,1,"{""name"":""point"",""cx"":298,""cy"":275}","{""part_name"":""short_ribs""}"
vaca8_jpg.rf.847b7448c51ac98b64f57f8df809a3a9.jpg,42372,"{""bcs_score"":""3.5""}",5,2,"{""name"":""point"",""cx"":241,""cy"":249}","{""part_name"":""pins""}"
vaca8_jpg.rf.847b7448c51ac98b64f57f8df809a3a9.jpg,42372,"{""bcs_score"":""3.5""}",5,3,"{""name"":""point"",""cx"":232,""cy"":282}","{""part_name"":""thurl""}"
vaca8_jpg.rf.847b7448c51ac98b64f57f8df809a3a9.jpg,42372,"{""bcs_score"":""3.5""}",5,4,"{""name"":""point"",""cx"":256,""cy"":253}","{""part_name"":""hooks""}"
vaca9_jpg.rf.1361de5187f27f27766b7d43ce4d6da0.jpg,62777,"{""bcs_score"":""4.5""}",5,0,"{""name"":""point"",""cx"":218,""cy"":131}","{""part_name"":""sacral_ligament""}"
vaca9_jpg.rf.1361de5187f27f27766b7d43ce4d6da0.jpg,62777,"{""bcs_score"":""4.5""}",5,1,"{""name"":""point"",""cx"":96,""cy"":135}","{""part_name"":""pins""}"
vaca9_jpg.rf.1361de5187f27f27766b7d43ce4d6da0.jpg,62777,"{""bcs_score"":""4.5""}",5,2,"{""name"":""point"",""cx"":74,""cy"":183}","{""part_name"":""thurl""}"
vaca9_jpg.rf.1361de5187f27f27766b7d43ce4d6da0.jpg,62777,"{""bcs_score"":""4.5""}",5,3,"{""name"":""point"",""cx"":172,""cy"":132}","{""part_name"":""hooks""}"
vaca9_jpg.rf.1361de5187f27f27766b7d43ce4d6da0.jpg,62777,"{""bcs_score"":""4.5""}",5,4,"{""name"":""point"",""cx"":401,""cy"":248}","{""part_name"":undefined}"
vaca13_jpg.rf.ca6cf0ff8e6c72e6ad9e6e8c10582a54.jpg,96977,"{""bcs_score"":""4.5""}",2,0,"{""name"":""point"",""cx"":484,""cy"":135}","{""part_name"":""thurl""}"
vaca13_jpg.rf.ca6cf0ff8e6c72e6ad9e6e8c10582a54.jpg,96977,"{""bcs_score"":""4.5""}",2,1,"{""name"":""point"",""cx"":468,""cy"":109}","{""part_name"":""pins""}"
vaca17_jpg.rf.77866556a2e5126b38d88896a0bebb09.jpg,50777,"{""bcs_score"":""4.0""}",4,0,"{""name"":""point"",""cx"":302,""cy"":211}","{""part_name"":""tailhead_ligament""}"
vaca17_jpg.rf.77866556a2e5126b38d88896a0bebb09.jpg,50777,"{""bcs_score"":""4.0""}",4,1,"{""name"":""point"",""cx"":218,""cy"":254}","{""part_name"":""pins""}"
